chunk_x,chunk_z,dominant_biome,air,dirt,water,short_grass,grass_block,sand,tall_seagrass,oak_leaves,birch_leaves,oak_log,tall_grass,birch_log,kelp,kelp_plant,dark_oak_log,dark_oak_leaves,spruce_leaves,spruce_log,bush,sandstone,brown_mushroom,dandelion,podzol,red_mushroom_block,mushroom_stem,poppy,coarse_dirt,oxeye_daisy,emerald_ore,lily_pad,snow,acacia_leaves
0,0,5,0.5292454669526223,0.1568527918781725,0.2916632033912393,0.0,0.0,0.0,0.2884615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,5,0.5461103528953012,0.1395939086294416,0.3469370792120356,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.6736842105263158,0.6082289803220036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,5,0.5353545200493923,0.2065989847715736,0.349264400299227,0.0458015267175572,0.0,0.0,0.1346153846153846,0.0,0.0,0.0,0.0,0.0,0.3052631578947368,0.2683363148479427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,5,0.5348346006369012,0.0614213197969543,0.3179286842323996,0.2595419847328244,0.0,0.0690647482014388,0.1538461538461538,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337954939341421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,1,5,0.5006823942288945,0.2030456852791878,0.3232482752888371,0.0076335877862595,0.0,0.0007194244604316,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,0,5,0.4995125755507896,0.0842639593908629,0.3260743080375696,0.0,0.0,0.0258992805755395,0.173076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,-1,5,0.5035094560343146,0.1228426395939086,0.3336381015709417,0.0,0.0,0.0007194244604316,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-1,5,0.4982127770195619,0.0873096446700507,0.2794447676834843,0.0,0.0,0.0,0.173076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1,5,0.5883213101969195,0.2309644670050761,0.1978222924112709,0.4274809160305343,0.0,0.0568345323741007,0.1923076923076923,0.0,0.0,0.0,0.5416666666666666,0.0,0.431578947368421,0.3774597495527728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-1,5,0.6138298563722623,0.4218274111675127,0.1624968830521153,0.2977099236641221,0.0,0.1079136690647482,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,5,0.5757457594072919,0.0812182741116751,0.4091097996841493,0.099236641221374,0.0,0.014388489208633,0.0384615384615384,0.0,0.0,0.0,0.1666666666666666,0.0,0.1473684210526315,0.146690518783542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0,0.5658997855332424,0.1949238578680203,0.2379685811653229,0.0839694656488549,0.0,0.7575539568345324,0.0192307692307692,0.0,0.0,0.2318840579710145,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2123050259965338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,2,5,0.5493273542600897,0.1263959390862944,0.3030504529964259,0.1374045801526717,0.0,0.0323741007194244,0.2692307692307692,0.0,0.0,0.0,0.2083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077989601386481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2,2,5,0.5413660882563203,0.1065989847715736,0.3201728867093342,0.5419847328244275,0.0,0.0,0.1923076923076923,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2,1,5,0.5100734386170144,0.0944162436548223,0.3368797273709583,0.0381679389312977,0.0,0.0021582733812949,0.1153846153846153,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2,0,5,0.5166049262364334,0.0796954314720812,0.3391239298478929,0.0381679389312977,0.0,0.0028776978417266,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2,-1,5,0.5279781633846754,0.082233502538071,0.3313938990940071,0.1603053435114503,0.0,0.0,0.25,0.0,0.0,0.0,0.1666666666666666,0.0,0.1157894736842105,0.1395348837209302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,-2,5,0.5101709235068564,0.0548223350253807,0.34261491147868,0.1297709923664122,0.0,0.0057553956834532,0.25,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-2,5,0.510950802625593,0.1197969543147208,0.2828526307040146,0.0076335877862595,0.0,0.0,0.1153846153846153,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-2,5,0.533599792032235,0.1228426395939086,0.1925858199650902,0.4351145038167939,0.0,0.0661870503597122,0.2115384615384615,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-2,5,0.5305127705205693,0.4223350253807106,0.1742997257085861,0.2137404580152671,0.0,0.1424460431654676,0.1153846153846153,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-2,5,0.5003899395593683,0.5228426395939086,0.1213531709749813,0.0458015267175572,0.0,0.1690647482014388,0.1153846153846153,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-1,5,0.5016572431273153,0.4715736040609137,0.1468705843238301,0.0610687022900763,0.0,0.1899280575539568,0.2115384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,5,0.520439331903555,0.2756345177664974,0.3844235724378688,0.0,0.0,0.0402877697841726,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0,0.5293754468057451,0.1781725888324873,0.2901670684066162,0.0610687022900763,0.0,0.5302158273381294,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1724436741767764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,3,0,0.57330863716124,0.1045685279187817,0.4075305460892693,0.2137404580152671,0.0,0.379136690647482,0.0384615384615384,0.0,0.0,0.0,0.2083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084055459272097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
