dominant_biome,air,dirt,water,short_grass,grass_block,sand,tall_seagrass,oak_leaves,birch_leaves,oak_log,tall_grass,birch_log,kelp,kelp_plant,dark_oak_log,dark_oak_leaves,spruce_leaves,spruce_log,bush,sandstone,brown_mushroom,dandelion,podzol,red_mushroom_block,mushroom_stem,poppy,coarse_dirt,oxeye_daisy,emerald_ore,lily_pad,snow,acacia_leaves
2,0.498310261909404,0.5431472081218274,0.067488697081792,0.1755725190839694,0.5095137420718816,0.0,0.0,0.0762032085561497,0.0,0.0869565217391304,0.1666666666666666,0.0,0.0,0.0,0.4710144927536231,0.5462822458270106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5014622733476312,0.6482233502538071,0.1572544184134813,0.0229007633587786,0.4989429175475687,0.0,0.0,0.9344919786096256,0.1491596638655462,0.9855072463768116,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.4927861181516865,0.0908629441624365,0.4536785861076859,0.0,0.0,0.0,0.543859649122807,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.5813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.4928836030415285,0.1436548223350253,0.3081792026304973,0.0,0.0,0.0201438848920863,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.3368421052631579,0.293381037567084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.4965555338922467,0.1532994923857868,0.0946979038224414,0.0,0.0,0.2517985611510791,0.2280701754385964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.4999675050367193,0.583248730964467,0.2037813399095766,0.0,0.0,0.135251798561151,0.1228070175438596,0.0,0.0,0.0,0.0,0.0,0.2947368421052631,0.2415026833631484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5071813868850328,0.2436548223350254,0.093711467324291,0.0,0.0,0.2007194244604316,0.1578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.6066809644505101,0.2360406091370558,0.0877106452938758,0.0687022900763358,0.4630021141649049,0.0,0.0,0.0,0.7331932773109243,0.0,0.0,0.5571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5522519009553519,0.5441624365482234,0.3048088779284834,0.3740458015267175,0.5412262156448203,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.2766296224085267,0.2380710659898477,0.0292642827784628,0.0458015267175572,0.386892177589852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714046822742475,0.5080385852090032,0.0,0.0,0.2,0.0,0.2620865139949109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5087736400857867,0.3441624365482233,0.0,0.015267175572519,0.53276955602537,0.0,0.0,0.2540106951871658,0.0,0.3043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4182751673490609,0.5248730964467005,0.0,0.1145038167938931,0.5285412262156448,0.0,0.0,0.4866310160427807,0.1407563025210084,0.4202898550724637,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.4621758627412751,0.5106598984771573,0.0,0.0610687022900763,0.5412262156448203,0.0,0.0,0.0,0.8277310924369747,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4932410476376161,0.5558375634517766,0.0,0.015267175572519,0.5369978858350951,0.0,0.0,0.4358288770053476,0.2289915966386554,0.4202898550724637,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.4785858191980243,0.5177664974619289,0.0383888203863542,0.4198473282442748,0.5412262156448203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.4949632806914928,0.2076142131979695,0.4603370324702014,0.0,0.0,0.0,0.4210526315789473,0.0,0.0,0.0,0.0,0.0,0.5473684210526316,0.5438282647584973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4357249626307922,0.3969543147208121,0.0760378133990957,0.0458015267175572,0.5665961945031712,0.0,0.0,0.3275401069518716,0.0861344537815126,0.2898550724637681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
